objectid,filename,youtubeid,vimeoid,title,authors,names of student collaborators,date,item type,abstract,subject,location,latitude,longitude,link,identifier,publisher,citation,type,format,language,rights,rightsstatement
coll001,andress.png,,,"""Eine Lesart von Alexander von Humboldts Ansichten der Natur im Zeichen des Ukraine-Krieges.""",Reinhard Andress,,2023-01-20,Book Chapter,"Unser PEN Zentrum hat in der Edition Exil-PEN im Verlag Expeditionen eine Friedensanthologie von unseren Mitgliedern Gino Leineweber und Emina Čabaravdić-Kamber herausgegeben. Das PEN Zentrum deutschsprachiger Autoren im Ausland, lebt und arbeitet in der Tradition der Hilfe und Unterstützung von Menschen denen ein friedliche Miteinander in der Gesellschaft, in der sie lebten, nicht vergönnt war. Unser Zentrum wurde 1934 in London als Exil PEN für die vor den Nazis geflüchteten deutschen Schriftsteller und Schriftstellerinnen gegründet, und sieht in seiner Arbeit zunehmende Zensur und Verfolgung derjenigen, die ihr Menschenrecht auf freie Meinungsäußerung in ihrer Arbeit erleiden und muss gleichzeitig mitten in Europa erneut einen nicht mehr für möglich gehaltenen militärischen Überfall auf ein friedliches Land erleben. Einige Mitglieder des Zentrums haben das zum Anlass genommen, Texte für eine Anthologie zum Frieden zu schreiben.",Peace;Anthology;Coexistence;Exile,,,,https://exilpen.org/damals-wie-heute/,ISBN: 978-3-947911-78-3,Hamburg: Edition Exil-PEN im Verlag Expeditionen,"Andress, Reinhard. ""Eine Lesart von Alexander von Humboldts Ansichten der Natur im Zeichen des Ukraine-Krieges."" In: Gino Leineweber and Emina Cabaravdic-Kamber (eds.), Damals wie heute. Eine Friedensanthologie. Hamburg: Verlag Expeditionen 2023, pp. 139-153.",Image;StillImage,image/jpeg,de,,
coll002,badetti.jpg,,,Hope in darkness. Leaving night,Luca Badetti,,2023-01-01,Book,"Night can be an experience of both disorientation and loss, but also of new life and direction. Through reflections that are sensitive to the psychological and spiritual needs of the human person as well as relevant stories, this book invites readers to embrace the hope that is present at night. It journeys through some of the fundamental questions that people grapple with at night—questions that have to do with identity, relationships, and meaning—and highlights ways in which individuals and communities can grow through them toward greater freedom.","Suffering -- Religious aspects -- Christianity;Hope -- Religious aspects -- Christianity;Night -- Religious aspects -- Christianity;Depression, Mental -- Religious aspects -- Christianity",,,,https://www.paulistpress.com/Products/5634-4/hope-in-darkness.aspx,ISBN: 978-08091-5634-4,Paulist Press,"Badetti, L., Hope in darkness. Leaving night, Paulist Press, Mahwah, NJ, 2023",Image;StillImage,image/jpeg,eng,,
coll003,ballicora.jpg,,,A critical inter-subunit interaction for the transmission of the allosteric signal in the Agrobacterium tumefaciens ADP-glucose pyrophosphorylase,Miguel A. Ballicora,Hiral P. Patel;  Gabriela Martinez‐Ramirez; Emily Dobrzynski,2023-08-08,Article,"ADP-glucose pyrophosphorylase is a key regulatory enzyme involved in starch and glycogen synthesis in plants and bacteria, respectively. It has been hypothesized that inter-subunit communications are important for the allosteric effect in this enzyme. However, no specific interactions have been identified as part of the regulatory signal. The enzyme from Agrobacterium tumefaciens is a homotetramer allosterically regulated by fructose 6-phosphate and pyruvate. Three pairs of distinct subunit-subunit interfaces are present. Here we focus on an interface that features two symmetrical interactions between Arg11 and Asp141 from one subunit with residues Asp141 and Arg11 of the neighbor subunit, respectively. Previously, scanning mutagenesis showed that a mutation at the Arg11 position disrupted the activation of the enzyme. Considering the distance of these residues from the allosteric and catalytic sites, we hypothesized that the interaction between Arg11 and Asp141 is critical for allosteric signaling rather than effector binding. To prove our hypothesis, we mutated those two sites (D141A, D141E, D141N, D141R, R11D, and R11K) and performed kinetic and binding analysis. Mutations that altered the charge affected the regulation the most. To prove that the interaction per se (rather than the presence of specific residues) is critical, we partially rescued the R11D protein by introducing a second mutation (R11D/D141R). This could not restore the activator effect on kcat, but it did rescue the effect on substrate affinity. Our results indicate the critical functional role of Arg11 and Asp141 to relay the allosteric signal in this subunit interface.",ADP-glucose pyrophosphorylase;Allosteric regulation;Kinetics;Subunit interaction;Chemistry,,,,https://luc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_pubmedcentral_primary_oai_pubmedcentral_nih_gov_10461462&context=PC&vid=01LUC_INST:01LUC&search_scope=MyInst_and_CI&tab=Everything&lang=en,ISSN:  0961-8368,Wiley Online Library,"Patel, Hiral P., et al. ""A Critical Inter‐subunit Interaction for the Transmission of the Allosteric Signal in the Agrobacterium Tumefaciens ADP ‐glucose Pyrophosphorylase."" Protein Science : A Publication of the Protein Society., vol. 32, no. 9, 2023",Image;StillImage,image/jpeg,eng,,
coll004,bohanon.jpg,,,A Preliminary Study Connecting School Improvement and MTSS With Student Outcomes,Hank M. Bohanon,Ali Kushki,2023-11-28,Article,"Schools have an increased focus on implementing schoolwide initiatives (e.g., multi-tiered systems of support; MTSS) to address risk factors related to dropping out. These interventions can involve multiple domains, including academic, behavioural, and social and emotional supports. Although researchers suggest that schoolwide interventions are effective, school staff may need help implementing various content (e.g., academic, behaviour) domains into a cohesive plan. This preliminary study focused on nine schools in the Midwestern United States that implemented schoolwide interventions as part of a statewide technical assistance approach. The research included using survey and extant data for all students to determine the connections between schoolwide interventions, school improvement, and student outcomes. Schools in this study that were higher on both school improvement and MTSS implementation had, in general, better student outcomes associated with predictors of dropping out of school. These findings indicate that school improvement and MTSS may be mutually beneficial enterprises that help school staff address factors related to dropping out.",Multi-tiered systems of support;MTSS;Schoolwide interventions;Secondary schools,,,,https://ecommons.luc.edu/education_facpubs/190/,ISSN: 2515-0731,Cambridge University Press,"Bohanon, Hank; Wu, Meng-Jia; Kushki, Ali; and LeVesseur, Cheyne. A Preliminary Study Connecting School Improvement and MTSS With Student Outcomes. Australasian Journal of Special and Inclusive Education, 1-15, 2023",Image;StillImage,image/jpeg,eng,,
coll005,bost.jpg,,,Disability Beyond Humans: Aurora Levins Morales and Inclusive Ontology,Suzanne M. Bost,,2023-01-01,Book Chapter,"The contributors to Crip Genealogies reorient the field of disability studies by centering the work of transnational feminism, queer of color critique, and trans scholarship and activism. They challenge the white, Western, and Northern rights-based genealogy of disability studies, showing how a single coherent narrative of the field is a mode of exclusion that relies on logics of whiteness and imperialism. The contributors examine how disability justice activists work in concert with other social justice projects, explore crip environments, create alternate disciplinary genealogies, and reject notions of the model minority. Throughout, they demonstrate how the mandate for a single genealogy of the discipline whitewashes disability and continues forms of violence. By cripping disability studies, the contributors allow for divergent histories, the coexistence of anti-ableist and antiracist theorizing, and a radically just and capacious understanding of disability. Contributors. Suzanne Bost, Mel Y. Chen, Sony Coráñez Bolton, Natalia Duong, Lezlie Frye, Magda García, Alison Kafer, Eunjung Kim, Yoo-suk Kim, Kateřina Kolářová, James Kyung-Jin Lee, Stacey Park Milbern, Julie Avril Minich, Tari Young-Jung Na, Therí A. Pickens, Leah Lakshmi Piepzna-Samarasinha, Jasbir K. Puar, Sami Schalk, Faith Njahîra Wangarî",Disability studies;Critical pedagogy;Feminist criticism;People with disabilities -- Political activity;People with disabilities in literature,,,,https://luc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma99214022030202506&context=L&vid=01LUC_INST:01LUC&search_scope=MyInst_and_CI&tab=Everything&lang=en,ISBN : 1-4780-2385-6,Durham: Duke University Press,"Bost, Suzanne M. ""Disability beyond humans: Aurora Levins Morales’s new (and old) ontologies."" Crip Genealogies. Eds. Mel Chen, et al. Durham: Duke University Press, 2023.",Image;StillImage,image/png,eng,,
coll006,cantwell.jpg,,,"""No Place Is So Dear to My Childhood"": Evangelicalism, Nostalgia, and the History of an American Hymn",Christopher D. Cantwell,,2023-09-01,Article,"This article tracks the surprising history of a love ballad about a lost sweetheart that went on to become a celebrated gospel hymn about the rural roots of America's greatness. Titled ""The Little Brown Church,"" but sometimes called ""The Church in the Wildwood,"" the song's evolution speaks to the ways in which nostalgia became central to the social and religious imagination of those American Protestants call themselves ""evangelicals."" Though it first appeared in college songbooks after its publication in 1865, ""The Little Brown Church"" eventually became a favorite of evangelists, revivalists, and other gospel singers at the dawn of the twentieth century. For these new singers, ""The Little Brown Church"" spoke to more than just the simple faith they wished to restore. It also illustrated the centrality of white Protestants to the American experience at a moment when the hold these believers had on the nation was beginning to slip. And they would alter both the lyrics and the church's history to bring the two in line. The process not only reveals how nostalgia for a bygone era became vital to those who think of themselves as evangelicals in the twentieth century, but also how evangelicalism itself is something of a historical construction.",20th century;Sacred music;Church music;Nostalgia;Religion ,,,,https://luc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_proquest_journals_2900121694&context=PC&vid=01LUC_INST:01LUC&search_scope=MyInst_and_CI&tab=Everything&lang=en,ISSN: 0009-6407,Cambridge University Press,"Cantwell, Christopher D.. ""No Place Is So Dear to My Childhood"": Evangelicalism, Nostalgia, and the History of an American Hymn. Church History: Studies in Christianity and Culture, 92, 3: 585 - 606, 2023",Image;StillImage,image/jpeg,eng,,
coll007,cavallo.PNG,,,Dreams on Fire. Sueño en el fuego. A Bilingual Edition of the Poetry of Alejandro Duque Amusco,Jennifer Parks,,2023-01-20,Book Chapter,"""Dreams on Fire / Sueño en el Fuego"" is a bilingual edition of the poetry of Alejandro Duque Amusco, a Spanish writer born in Seville in 1949. The book features a selection of Duque Amusco's poems on themes of death, love, time, childhood, solitude, and nature. This ground-breaking and providential edition showcases Duque Amusco's work for the first time in English and highlights Kimmelman's exceptional talent as a poetic translator. The genesis of this project is an inspiring story of spiritual kinship between the translator and the poet, which continued through a correspondence until Kimmelman's untimely death in 2001.  The book is a must-read for poetry lovers and those interested in Spanish poetry.",Poetry;Spanish;Death;Love;Time,,,,https://www.cloudhandspress.com/product-page/dreams-on-fire-sue%C3%B1o-en-el-fuego,ISBN-10: 0986164976 ,Chicago: Clouds Hands Press,"Dreams on Fire. Sueño en el fuego. A Bilingual Edition of the Poetry of Alejandro Duque Amusco. Ed., Susana Cavallo and Trans. Susan Kimmelman. Chicago: Clouds Hands Press, 2022.",Image;StillImage,image/jpeg,eng,,
coll008,chan-tin.png,,,WebTracker: Real Webbrowsing Behaviors,Eric Chan-Tin,Daisy Reyes; Eno Dynowski; Taryn Chovan; John Mikos; Madeline Moran; Josh Honig,2023-05-19,Conference Proceeding,"With increased privacy concerns, anonymity tools such as VPNs and Tor have become popular. However, the packet metadata such as the packet size and number of packets can still be observed by an adversary. This is commonly known as fingerprinting and website fingerprinting attacks have received a lot of attention recently as a known victim’s website visits can be accurately predicted, deanonymizing that victim’s web usage. Most of the previous work have been performed in laboratory settings and have made two assumptions: 1) a victim visits one website at a time, and 2) the whole website visit with all the network packets can be observed. To validate these assumptions, a new private webbrowser extension called WebTracker is deployed with real users. WebTracker records the websites visited, when the website loading starts, and when the website loading finishes. Results show that users’ browsing patterns are different than what was previously assumed. Users may browse the web in a way that acts as a countermeasure against website fingerprinting due to multiple websites overlapping and downloading at the same time. Over 15% of websites overlap with at least one other website and each overlap was 66 seconds. Moreover, each overlap happens roughly 9 seconds after the first website download has started. Thus, this reinforces some previous work that the beginning of a website is more important than the end for a website fingerprinting attack.",Webbrowsing;Website fingerprinting;Anonymity;Privacy;Computer sciences,,,,https://ecommons.luc.edu/cs_facpubs/355/,ISBN: 979-8-3503-2157-9,IEEE,"""WebTracker: Real Webbrowsing Behaviors"", IEEE Silicon Valley Cybersecurity Conference (SVCC), May 2023",,record,eng,,
coll009,chee.jpg,,,Digital Game Culture in Korea: The Social at Play.,Florence M. Chee,,2023-04-27,Book,"Focusing on Korea's sociohistorical and technocultural context, this work celebrates and recognizes the foundational role of Korean game culture in shaping global games and play",Video games -- Social aspects;Video game addiction;Video games industry;Korea,,,,https://luc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=alma99214014750002506&context=L&vid=01LUC_INST:01LUC&search_scope=MyInst_and_CI&tab=Everything&lang=en,ISBN: 9781793601391,Lexington Books,"Chee, F. M. (2023). Digital game culture in Korea : The Social at Play. Lexington Books.",Image;StillImage,image/jpeg,eng,,
coll010,conley.PNG,,,"Interpersonal Psychotherapy for college students (IPT-CS): Feasibility, acceptability, and effectiveness of group modality",Colleen Conley,Sarah Broner; Maya Hareli; Leslie Miller; Alexandra Rafaeli,2023-12-04,Article,"Despite college students’ high rates of depression, a large treatment gap remains in which many students in need are not receiving evidence-based care. This pilot randomized controlled trial (RCT) delivered a novel adaptation of Interpersonal Psychotherapy for College Students (IPT-CS) in group modality at a college counseling center. Of 97 students expressing interest, 18 with mild to moderate depression were randomized to IPT-CS or referral-to-usual-care. The nine who initiated IPT-CS treatment had an average 96.67% attendance rate across 10 sessions and rated IPT-CS as satisfactory and accessible. Facilitators also rated IPT-CS as satisfactory, feasible, and faithful to IPT. Group-by-time analyses indicated that IPT-CS, compared to referral-to-usual-care, yielded a pattern of medium to large effects for depression, anxiety, quality of life, social adjustment and support, interpersonal concerns overall, and disconnection/loneliness specifically. As the pilot trial was powered to detect quite large effects, group-by-time analyses only reached statistical significance for depression and social support, as did within-group analyses for quality of life and interpersonal concerns overall. Importantly, reductions in depression and anxiety were clinically significant, dropping from moderate at pre-intervention to mild/no signs at post-intervention. These findings have implications for improving the accessibility, reach, and impact of effective mental health services for college students.",Accessibility;College counseling center;Depression;Group therapy;Interpersonal Psychotherapy (IPT),,,,https://luc.primo.exlibrisgroup.com/discovery/fulldisplay?docid=cdi_crossref_primary_10_1080_87568225_2023_2276621&context=PC&vid=01LUC_INST:01LUC&search_scope=MyInst_and_CI&tab=Everything&lang=en,DOI: 10.1080/87568225.2023.2276621,Taylor & Francis,"Conley, C.S., Broner, S.E., Hareli, M., Miller, L., Rafaeli, A.K. (2023).  Interpersonal Psychotherapy for college students (IPT-CS): Feasibility, acceptability, and effectiveness of group modality. Journal of College Student Psychotherapy, online first publication. https://doi.org/10.1080/87568225.2023.2276621",Image;StillImage,image/jpeg,eng,,
